"Product Name","Category","Tag","Product Information","Origin","Ingredients","Nutritional Content","Storage","Other Information","Buy Two Get","Price","Price Per Item","Compare Price","Status","Weight","Discount Price","Subcategory","Sub-subcategory"
"Vattenmelon Hel Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","52,35","","34,90 kr/kg","In Stock","1,5 kg","","Frukt",""
"Melon Honung  Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","46,09","","41,90 kr/kg","In Stock","1,1kg","","Frukt",""
"Hallon 125g Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","25","","200 kr/kg","In Stock","125 g","","Frukt",""
"Apelsin Eko Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","9,58","","30,90 kr/kg","In Stock","310g","","Frukt",""
"Äpple Granny Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","6,06","","31,90 kr/kg","In Stock","190g","","Frukt",""
"Äpple Pink Lady Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","8,26","","45,90 kr/kg","In Stock","180g","","Frukt",""
"Citron Klass 1 nr 2","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","6,90","","34,50 kr/kg","In Stock","200g","","Frukt",""
"Jordgubbar 400g Spanien","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","4","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","39,95","","99,88 kr/kg","In Stock","400g","","Frukt",""
"Äpple Golden Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","5,06","","38,90 kr/kg","In Stock","130g","","Frukt",""
"Päron Klass 1","Frukt & grönt","Lager","","1","","","","","","5,86","","34,90","In Stock","160g","","Frukt",""
"Druvor Röda kärnfria Klass 1","Frukt & grönt","Lager","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","1","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","<div class=""ql-editor ql-blank"" data-gramm=""false"" contenteditable=""true""><p><br></p></div><div class=""ql-clipboard"" contenteditable=""true"" tabindex=""-1""></div><div class=""ql-tooltip ql-hidden""><a class=""ql-preview"" target=""_blank"" href=""about:blank""></a><input type=""text"" data-formula=""e=mc^2"" data-link=""https://quilljs.com"" data-video=""Embed URL""><a class=""ql-action""></a><a class=""ql-remove""></a></div>","","39,95","","80,00 kr/kg","In Stock","500g","","Frukt",""
